Image_Id,Image_URL,Brand,Model_Tag
1969,"https://images-eu.ssl-images-amazon.com/images/I/51K16b0w+zL._AC_UL260_SR200,260_.jpg",fossil,Fossil Dean Chronograph Analog Black Dial Men's Watch - FS4542
1970,"https://images-eu.ssl-images-amazon.com/images/I/51w+0As8PNL._AC_UL260_SR200,260_.jpg",fossil,Fossil End of Season Chronograph Black Dial Men's Watch - FS4545
1971,"https://images-eu.ssl-images-amazon.com/images/I/51bby7eycCL._AC_UL260_SR200,260_.jpg",fossil,Fossil Chronograph Silver Dial Men's Watch - CH2882
1972,"https://images-eu.ssl-images-amazon.com/images/I/51Xfk8OcVEL._AC_UL260_SR200,260_.jpg",fossil,Fossil Grant Chronograph Analog Black Dial Men's Watch - FS4832
1973,"https://images-eu.ssl-images-amazon.com/images/I/51KbKBE2oyL._AC_UL260_SR200,260_.jpg",fossil,Fossil Q FTW2106 Marshal Touchscreen Digital Multi-Colour Dial Men's Smartwatch
1974,"https://images-eu.ssl-images-amazon.com/images/I/51GDVftwBEL._AC_UL260_SR200,260_.jpg",fossil,Fossil Chronograph Off-White Dial Men's Watch-FS5138I
1975,"https://images-eu.ssl-images-amazon.com/images/I/412ctClbq3L._AC_UL260_SR200,260_.jpg",fossil,Fossil End of Season Stella Analog White Dial Women's Watch - ES1967I
1976,"https://images-eu.ssl-images-amazon.com/images/I/510sSfP94AL._AC_UL260_SR200,260_.jpg",fossil,Fossil Machine Analog Brown Dial Men's Watch - FS4656
1977,"https://images-eu.ssl-images-amazon.com/images/I/51gTHXiAKGL._AC_UL260_SR200,260_.jpg",fossil,Fossil Decker Chronograph Analog Black Dial Men's Watch - CH2600IE
1978,"https://images-eu.ssl-images-amazon.com/images/I/41b-K3hG2+L._AC_UL260_SR200,260_.jpg",fossil,Fossil Analog Black Dial Men's Watch - FS4552
1979,"https://images-eu.ssl-images-amazon.com/images/I/41QgE5xD-iL._AC_UL260_SR200,260_.jpg",fossil,Fossil Explorist Analog-Digital Black Dial Men's Watch-FTW4001
1980,"https://images-eu.ssl-images-amazon.com/images/I/517056l9gaL._AC_UL260_SR200,260_.jpg",fossil,Fossil Dean Chronograph Black Dial Men's Watch - FS4721
1981,"https://images-eu.ssl-images-amazon.com/images/I/510IQJpHskL._AC_UL260_SR200,260_.jpg",fossil,Fossil Machine Chronograph Black Dial Men's Watch - FS4487
1982,"https://images-eu.ssl-images-amazon.com/images/I/41e-Pi5MWsL._AC_UL260_SR200,260_.jpg",fossil,Fossil Jesse Analog Rose Gold Dial Watch - ES3020
1983,"https://images-eu.ssl-images-amazon.com/images/I/51rvDQ7YnBL._AC_UL260_SR200,260_.jpg",fossil,Fossil Q Founder Analog-Digital Multi-Colour Dial Men's Touchscreen Smartwatch-FTW2119
1984,"https://images-eu.ssl-images-amazon.com/images/I/51xNtciFnPL._AC_UL260_SR200,260_.jpg",fossil,Fossil Q FTW2112 Wander Digital Multi-Colour Dial Women's Watch
1985,"https://images-eu.ssl-images-amazon.com/images/I/41MZeYts4VL._AC_UL260_SR200,260_.jpg",fossil,Fossil End-of-Season Grant Analog Blue Dial Men's Watch - FS4966I
1986,"https://images-eu.ssl-images-amazon.com/images/I/51nzI04a00L._AC_UL260_SR200,260_.jpg",fossil,Fossil Analog Blue Dial Men's Watch - FS4835
1987,"https://images-eu.ssl-images-amazon.com/images/I/413voSt9wtL._AC_UL260_SR200,260_.jpg",fossil,Fossil Analog Silver Dial Women's Watch - ES3284
1988,"https://images-eu.ssl-images-amazon.com/images/I/41h7yxCrDBL._AC_UL260_SR200,260_.jpg",fossil,Fossil Machine Chronograph Black Dial Men's Watch - FS4682
1989,"https://images-eu.ssl-images-amazon.com/images/I/41NFwJtBqdL._AC_UL260_SR200,260_.jpg",fossil,Fossil Analog Mother Of Pearl Dial Women's Watch - AM4183
1990,"https://images-eu.ssl-images-amazon.com/images/I/51BlUImz4YL._AC_UL260_SR200,260_.jpg",fossil,Fossil Pilot 54 Chronograph Blue Dial Men's Watch-FS5203I
1991,"https://images-eu.ssl-images-amazon.com/images/I/41MO3lYxiWL._AC_UL260_SR200,260_.jpg",fossil,Fossil Jesse Analog White Dial Women's Watch - ES2362
1992,"https://images-eu.ssl-images-amazon.com/images/I/51FQHIdmzjL._AC_UL260_SR200,260_.jpg",fossil,Fossil Jacqueline Analog Blue Dial Women's Watch-ES4094
1993,"https://images-eu.ssl-images-amazon.com/images/I/41ozhugB9KL._AC_UL260_SR200,260_.jpg",fossil,Fossil End-of-Season Analog Rose Dial Women's Watch - AM4508
1994,"https://images-eu.ssl-images-amazon.com/images/I/41tFLsbDU4L._AC_UL260_SR200,260_.jpg",fossil,Fossil Georgia Analog Silver Dial Women's Watch - ES3060
1995,"https://images-eu.ssl-images-amazon.com/images/I/51nXhBtGvTL._AC_UL260_SR200,260_.jpg",fossil,Fossil Analog Brown Dial Men's Watch-ME3098
1996,"https://images-eu.ssl-images-amazon.com/images/I/41zqekvs5BL._AC_UL260_SR200,260_.jpg",fossil,Fossil Venture Analog-Digital Black Dial Women's Watch-FTW6008
1997,"https://images-eu.ssl-images-amazon.com/images/I/51flvoBUNbL._AC_UL260_SR200,260_.jpg",fossil,Fossil Original Boyfriend Analog Silver Dial Women's Watch - ES3838
1998,"https://images-eu.ssl-images-amazon.com/images/I/41zEh-+5L7L._AC_UL260_SR200,260_.jpg",fossil,Fossil Jacqueline Analog Pink Dial Women's Watch -ES3546
